Nipsey Hussle,What It Feels Like by Nipsey Hussle & JAY-Z,https://genius.com/Nipsey-hussle-and-jay-z-what-it-feels-like-lyrics," And this is what it feels like  And this is what it feels like  Look, the only reason  I survive 'cause a nigga is special, first You get successful, then it get stressful, thirst Niggas gon' test you, see what your texture's worth Diamonds and pipes, one of 'em pressure bursts Street nigga, still  I get checks, in spurts I'm for peace, but before  I get pressed,  I murk Better days pray for but expectin' worse At this level, bullshit,  I'm just less concernеd Cruisin' in the 6, lookin' at the proceeds of rap music on my wrist Drop another mixtapе, my shit boomin' out this bitch Young  Malcolm,  I'm the leader of the movement out this bitch, look And this is what it feels like  Reach a level, make you question, "" Is it real life?"" All the weed good, all the pussy real tight And the only rule, keep your dollar bills right And this is what it feels like  And this is what it feels like  And this is what it feels like  And this is what it feels like "
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
